id,name,github,domain,primary_domain,repositories,public_repos,total_stars,followers,following,org_repos_count,org_total_stars,org_total_forks,org_total_contributions,org_avg_stars_per_repo,avatar,bio,location,company
zhaoweimiao,Zhenyang Zhao,https://github.com/zhaoweimiao,LLM,LLM,happy-llm,89,2,1,3,1,31559,2993,1,31559.0,avatars/zhaoweimiao.jpg,,,
xile42,喜乐,https://github.com/xile42,LLM,LLM,happy-llm,3,10,4,3,1,31559,2993,1,31559.0,avatars/xile42.jpg,,Earth,
acse-yz4421,yuqi zhou,https://github.com/acse-yz4421,LLM,LLM,happy-llm,10,0,0,2,1,31559,2993,1,31559.0,avatars/acse-yz4421.jpg,,,
Sheeran02,施旭伦,https://github.com/Sheeran02,LLM,LLM,happy-llm,11,0,0,2,1,31559,2993,1,31559.0,avatars/Sheeran02.jpg,,,
Hanguangwu,ZW Zhang,https://github.com/Hanguangwu,LLM;前端开发,LLM,happy-llm,68,1,0,0,1,31559,2993,1,31559.0,avatars/Hanguangwu.jpg,Email: zhangzhengwei2026@163.com Personal Blog: https://Hanguangwu.github.io/blog,Shanghai,
fengxiaohu,Xiaohu,https://github.com/fengxiaohu,LLM,LLM,happy-llm,114,33,11,19,1,31559,2993,1,31559.0,avatars/fengxiaohu.jpg,qemu/kvm virtualization xv6 OS riscv/x86,shanghai,Bytedance
gift-is-coding,Tiff Wu,https://github.com/gift-is-coding,LLM,LLM,happy-llm,30,6,6,5,1,31559,2993,1,31559.0,avatars/gift-is-coding.jpg,,,
UserXSX,Li Xu,https://github.com/UserXSX,LLM,LLM,happy-llm,16,3,3,5,1,31559,2993,1,31559.0,avatars/UserXSX.jpg,Jinan University/major in Computer Technology,"No. 855, Xingye Avenue East, Panyu District, Guangzhou City, Guangdong Province, China",Jinan University
JX446,,https://github.com/JX446,LLM,LLM,happy-llm,16,3,0,0,1,31559,2993,1,31559.0,avatars/JX446.jpg,,,
HaoyuLi-Nova,Haoyu Li,https://github.com/HaoyuLi-Nova,LLM;机器学习,LLM,happy-llm,13,5,1,4,1,31559,2993,1,31559.0,avatars/HaoyuLi-Nova.jpg,"CS undergrad @ Wuhan University | Research in Med AI,generative visual AI, video/3D generation, diffusion, and world models",,Wuhan University
GodHu777777,Genghong Hu,https://github.com/GodHu777777,LLM,LLM,happy-llm,34,27,20,32,1,31559,2993,1,31559.0,avatars/GodHu777777.jpg,Undergrad at Xidian University,Beijing,Xidian University
Founce,,https://github.com/Founce,LLM,LLM,happy-llm,3,0,0,0,1,31559,2993,1,31559.0,avatars/Founce.jpg,,,
Fyuan0206,Element,https://github.com/Fyuan0206,AI Agent;AI工具;RAG,AI Agent,agentic-ai;self-llm;agent-skills-with-anthropic;easy-vecdb;ai-prompting-for-everyone;hml-solutions,21,29,2,3,6,33849,3485,124,5641.5,avatars/Fyuan0206.jpg,,,
jizusun,Jizu Sun,https://github.com/jizusun,AI Agent;前端开发,AI Agent,agentic-ai,164,101,105,409,1,977,172,23,977.0,avatars/jizusun.jpg,GitHub is awesome 🙋‍♂️,"Shanghai, China",@philips-software
Simuoss,Simuoss,https://github.com/Simuoss,AI Agent,AI Agent,agentic-ai,10,37,12,7,1,977,172,12,977.0,avatars/Simuoss.jpg,,,
mx-pai,mx-pai,https://github.com/mx-pai,AI Agent,AI Agent,agentic-ai,55,7,16,108,1,977,172,4,977.0,avatars/mx-pai.jpg,Views may age; facts never do.,Shanghai,Bytedance
qiwang067,Qi Wang,https://github.com/qiwang067,LLM;强化学习,强化学习,easy-rl;learn-world-model;leedl-tutorial;joyrl;leegenai-tutorial,66,798,389,86,5,31820,5423,879,6364.0,avatars/qiwang067.jpg,Think Different,,SJTU << UCAS
yyysjz1997,Yiyuan Yang,https://github.com/yyysjz1997,具身智能;深度学习;机器学习;计算机视觉;数据分析;LLM;强化学习;数据挖掘;前端开发,强化学习,easy-rl;team-learning-data-mining;leedl-tutorial;leegenai-tutorial,98,1236,225,17,4,33134,6200,354,8283.5,avatars/yyysjz1997.jpg,Keep Calm and Carry On！,Oxford,University of Oxford
johnjim0816,johnjim0816,https://github.com/johnjim0816,具身智能;强化学习;AI工具;机器学习,具身智能,easy-rl;self-llm;machine-learning-toy-code;joyrl-book;dive-into-embodied-ai;joyrl;rl-papers,36,334,268,11,7,47101,5581,833,6728.71,avatars/johnjim0816.jpg,,Hangzhou,Netease AI Lab
BeBraveBeCurious,,https://github.com/BeBraveBeCurious,强化学习,强化学习,easy-rl,50,2,6,39,1,14358,2259,2,14358.0,avatars/BeBraveBeCurious.jpg,,,
wthe2004,Wentao He,https://github.com/wthe2004,强化学习,强化学习,easy-rl,25,5,15,25,1,14358,2259,1,14358.0,avatars/wthe2004.jpg,,Ann Arbor,University of Michigan
taojunhui,M,https://github.com/taojunhui,强化学习,强化学习,easy-rl,28,3,0,14,1,14358,2259,1,14358.0,avatars/taojunhui.jpg,,,
Ynjxsjmh,Winy Song,https://github.com/Ynjxsjmh,强化学习;深度学习,强化学习,easy-rl,73,35,6,2,1,14358,2259,1,14358.0,avatars/Ynjxsjmh.jpg,Learning to Think Better.,,
fywang12,fywang12,https://github.com/fywang12,强化学习,强化学习,easy-rl,128,8,4,12,1,14358,2259,1,14358.0,avatars/fywang12.jpg,CS,,
olianate,,https://github.com/olianate,强化学习,强化学习,easy-rl,15,0,0,1,1,14358,2259,1,14358.0,avatars/olianate.jpg,,,
ssccinng,,https://github.com/ssccinng,强化学习,强化学习,easy-rl,155,68,46,67,1,14358,2259,1,14358.0,avatars/ssccinng.jpg,,China,
xyw5vplus1,,https://github.com/xyw5vplus1,强化学习,强化学习,easy-rl,4,2,27,63,1,14358,2259,1,14358.0,avatars/xyw5vplus1.jpg,PhD candidate @ Fudan University,"Shanghai, China",Fudan University
zh4men9,Xiuyan Chen,https://github.com/zh4men9,强化学习;前端开发,强化学习,easy-rl,102,29,7,21,1,14358,2259,1,14358.0,avatars/zh4men9.jpg,"China University of Petroleum, Beijing. Major in Chemical Engineering","China University of Petroleum, Beijing","China University of Petroleum, Beijing"
webup,Haili Zhang,https://github.com/webup,AI Agent;RAG,AI Agent,deepagents-in-action;easy-data-x-ai,50,1086,257,57,2,945,96,63,472.5,avatars/webup.jpg,"LangChain Ambassador, LFAPAC Open Source Evangelist.",Shanghai,
knqiufan,knqiufan,https://github.com/knqiufan,数据库;AI Agent,数据库,deepagents-in-action,36,42,19,15,1,903,81,3,903.0,avatars/knqiufan.jpg,怯弱，烦恼，痛苦，即使拥有这些，却依然勇往直前，这才算得上是真正的强大,China ShangHai,
YangLeeFangfei,Fangfei,https://github.com/YangLeeFangfei,AI Agent,AI Agent,deepagents-in-action,17,2,0,16,1,903,81,2,903.0,avatars/YangLeeFangfei.jpg,今天做不到的事情，明天不一定做不到。,,
ThingsWorld,bishi,https://github.com/ThingsWorld,AI Agent,AI Agent,deepagents-in-action,20,7,0,0,1,903,81,2,903.0,avatars/ThingsWorld.jpg,,guangzhou,CXQZ
1iyouzhen,,https://github.com/1iyouzhen,医学影像;AI Agent;LLM;RAG,RAG,deepagents-in-action;all-in-rag;diy-llm;reasoning-kingdom;med-imaging-primer;dive-into-bishop-dl,25,13,15,28,6,11108,4659,625,1851.33,avatars/1iyouzhen.jpg,,,
liduchuan,Alex,https://github.com/liduchuan,AI Agent,AI Agent,deepagents-in-action,134,3,8,23,1,903,81,1,903.0,avatars/liduchuan.jpg,,,
louieh,Luyi Han,https://github.com/louieh,数据库;AI Agent,数据库,deepagents-in-action,20,13,10,20,1,903,81,1,903.0,avatars/louieh.jpg,,Plano,
Walt-like,,https://github.com/Walt-like,AI Agent,AI Agent,deepagents-in-action,12,0,0,1,1,903,81,1,903.0,avatars/Walt-like.jpg,,,
codeMonkeyWang,Yongwang Wang,https://github.com/codeMonkeyWang,AI Agent,AI Agent,deepagents-in-action,32,123,16,6,1,903,81,1,903.0,avatars/codeMonkeyWang.jpg,,,
dongyu23,Zihan Jin,https://github.com/dongyu23,AI Agent,AI Agent,deepagents-in-action,18,20,3,15,1,903,81,1,903.0,avatars/dongyu23.jpg,,"Shenyang City, Liaoning Province, China","Wenshun Network Technology Co., Ltd."
liboyang0730,Zlatan,https://github.com/liboyang0730,AI Agent,AI Agent,deepagents-in-action;easy-data-x-ai,33,1,14,134,2,945,96,76,472.5,avatars/liboyang0730.jpg,,,
longyaoyoudu,bryant,https://github.com/longyaoyoudu,AI Agent,AI Agent,deepagents-in-action,22,156,2,2,1,903,81,1,903.0,avatars/longyaoyoudu.jpg,,,
xschen-beb,^-^,https://github.com/xschen-beb,AI Agent,AI Agent,deepagents-in-action,16,22,0,3,1,903,81,1,903.0,avatars/xschen-beb.jpg,,China,
andongBlue,陈安东,https://github.com/andongBlue,LLM;框架教程;数据分析,LLM,so-large-lm;thorough-pytorch;hands-on-data-analysis,63,67,82,8,3,12576,1548,262,4192.0,avatars/andongBlue.jpg,哈尔滨工业大学在读博士生 (A PhD candidate at Harbin Institute of Technology),,
zhangfanTJU,Fan Zhang,https://github.com/zhangfanTJU,LLM;AI工具;NLP,LLM,so-large-lm;self-llm;learn-nlp-with-transformers;hands-on-llm,25,33,44,21,4,41764,4174,33,10441.0,avatars/zhangfanTJU.jpg,,,Tianjin University
mlw67,ML67,https://github.com/mlw67,LLM;AI工具;强化学习,LLM,so-large-lm;self-llm;llms-from-scratch-cn;team-learning;code-your-own-llm;llm-deploy;key-book,62,43,124,20,7,47392,5201,37,6770.29,avatars/mlw67.jpg,Learning.....,,
Relph1119,Relph Hu,https://github.com/Relph1119,深度学习;机器学习;框架教程;面试求职;推荐系统;LLM;大数据;编程基础;前端开发,LLM,so-large-lm;llm-cookbook;sweetalk-design-pattern;thorough-pytorch;d2l-ai-solutions-manual;juicy-bigdata;huawei-od-python;hugging-llm;statistical-learning-method-solutions-manual;whale-paper;resonant-soul;undingable-optimization;mcp-lite-dev;team-learning-program,117,2401,598,25,14,43048,5342,540,3074.86,avatars/Relph1119.jpg,To salute Brandon Relph. A language beginner，Used Language：Java，Python， Common Lisp，Go,China BeiJing,
Heitao5200,黑桃,https://github.com/Heitao5200,面试求职;AI工具,面试求职,daily-interview;self-llm;pumpkin-book;leedl-tutorial,41,61,32,6,4,77323,11434,123,19330.75,avatars/Heitao5200.jpg,,,
xiaorancs,xiaoran,https://github.com/xiaorancs,面试求职;编程基础;机器学习,面试求职,daily-interview;team-learning;team-learning-program,63,140,28,1,3,6969,1559,70,2323.0,avatars/xiaorancs.jpg,PangPang and YuanYuan,"Beijing,China",UCAS
hclown9804,clown,https://github.com/hclown9804,面试求职,面试求职,daily-interview,24,4,10,90,1,3722,499,14,3722.0,avatars/hclown9804.jpg,,Hangzhou,Datawhale
hscspring,Yam(长琴),https://github.com/hscspring,多模态;深度学习;机器学习;面试求职;框架教程;NLP;LLM;强化学习;AI Agent;前端开发,LLM,daily-interview;llm-cookbook;sweetalk-design-pattern;llm-deploy;hugging-llm;powerful-numpy;sora-tutorial;hands-on-llm;hands-on-llama,160,795,233,100,9,32262,4001,281,3584.67,avatars/hscspring.jpg,"Feeling, Coding, Thinking",,
disguiseR1,,https://github.com/disguiseR1,面试求职,面试求职,daily-interview,8,0,0,10,1,3722,499,10,3722.0,avatars/disguiseR1.jpg,,,
Richman-wang,,https://github.com/Richman-wang,面试求职,面试求职,daily-interview,17,10,0,2,1,3722,499,8,3722.0,avatars/Richman-wang.jpg,,,
kangbrilliant,,https://github.com/kangbrilliant,面试求职;NLP,面试求职,daily-interview;hands-dirty-nlp,12,77,13,16,2,3812,515,25,1906.0,avatars/kangbrilliant.jpg,,,
ZhT515,Tong,https://github.com/ZhT515,面试求职,面试求职,daily-interview,13,9,0,1,1,3722,499,8,3722.0,avatars/ZhT515.jpg,Stay hungry Stay foolish,Xi'an,Chang’an University
shadowings-zy,,https://github.com/shadowings-zy,面试求职;多模态;前端开发,面试求职,daily-interview;members-visualization;sora-tutorial;gemini-pailido-demo;datawhale-homepage,45,990,109,5,5,3868,528,31,773.6,avatars/shadowings-zy.jpg,,,
Fatflower,Monster,https://github.com/Fatflower,面试求职,面试求职,daily-interview,197,31,22,91,1,3722,499,7,3722.0,avatars/Fatflower.jpg,Serve the People,,
LiuFan-libiao,刘凡,https://github.com/LiuFan-libiao,面试求职,面试求职,daily-interview,6,0,4,5,1,3722,499,5,3722.0,avatars/LiuFan-libiao.jpg,,杭州,
Yzmshjd,,https://github.com/Yzmshjd,面试求职;NLP,面试求职,daily-interview,15,0,1,2,1,3722,499,4,3722.0,avatars/Yzmshjd.jpg,"I'm a graduate student, looking for a job a engineer on recommendation system or nlp.",Shanghai,Fudan University
maoweixy,毛小伟,https://github.com/maoweixy,面试求职,面试求职,daily-interview,12,25,13,11,1,3722,499,4,3722.0,avatars/maoweixy.jpg,Stay hungry Stay foolish,China Shenzhen,腾讯
bushou-yhh,Bushou,https://github.com/bushou-yhh,面试求职,面试求职,daily-interview,24,1,6,22,1,3722,499,3,3722.0,avatars/bushou-yhh.jpg,to be or not to be.,,
LinglingGreat,Li Ling,https://github.com/LinglingGreat,面试求职;LLM,面试求职,daily-interview;hands-on-llm,10,36,9,29,2,3730,501,5,1865.0,avatars/LinglingGreat.jpg,,,
lynnhuang97,小羊,https://github.com/lynnhuang97,面试求职;LLM,LLM,daily-interview;llm-cookbook;hugging-llm,4,2,17,13,3,31100,3812,9,10366.67,avatars/lynnhuang97.jpg,,,
orivine,,https://github.com/orivine,面试求职,面试求职,daily-interview,26,1,4,17,1,3722,499,1,3722.0,avatars/orivine.jpg,"I am a student in southeast university, majoring in artificial intelligence right now.",,
L4HeyXiao,,https://github.com/L4HeyXiao,AI工具,AI工具,self-llm,2,0,7,0,1,31054,3038,95,31054.0,avatars/L4HeyXiao.jpg,,,
isaacahahah,kichi,https://github.com/isaacahahah,AI工具,AI工具,self-llm,4,0,6,15,1,31054,3038,51,31054.0,avatars/isaacahahah.jpg,,,
Aphasia0515,Aphasia,https://github.com/Aphasia0515,LLM;AI工具,AI工具,self-llm;llm-cookbook;llm-preview,6,11,9,3,3,55504,5985,101,18501.33,avatars/Aphasia0515.jpg,,,
Caleb-Sun-jz,Caleb Sun,https://github.com/Caleb-Sun-jz,AI工具,AI工具,self-llm,11,1,3,2,1,31054,3038,41,31054.0,avatars/Caleb-Sun-jz.jpg,,,
Twosugar666,Xuanbo Guo,https://github.com/Twosugar666,AI工具,AI工具,self-llm,26,22,6,4,1,31054,3038,24,31054.0,avatars/Twosugar666.jpg,,Beijing,Beihang University
moyitech,Zeyu Wang,https://github.com/moyitech,LLM;AI工具,LLM,self-llm;tiny-universe;post-training-of-llms,34,66,27,25,3,36214,3543,26,12071.33,avatars/moyitech.jpg,LLM MPhil Student,,Taiyuan University of Technology
dingyue772,Yue Ding,https://github.com/dingyue772,LLM;AI工具;NLP,AI工具,self-llm;llms-from-scratch-cn,11,58,48,80,2,35270,3619,25,17635.0,avatars/dingyue772.jpg,"The first year Ph.D. student @CASIA, NLPR, advised by Prof. Liang Wang.",Haidian Beijing,State Key Laboratory of Pattern Recognition
Kailigithub,,https://github.com/Kailigithub,框架教程;AI工具;全栈开发;强化学习,AI工具,self-llm;whale-quant;d2l-ai-solutions-manual;joyrl;wow-fullstack;whale-coin,26,8,17,12,6,34703,3502,93,5783.83,avatars/Kailigithub.jpg,,,
Joe-2002,Joe-2002,https://github.com/Joe-2002,具身智能;后端开发;LLM;AI工具;前端开发,AI工具,self-llm;post-training-of-llms;sweetalk-data-structure;sweettalk-django;easy-robot,32,140,24,37,5,31323,3078,46,6264.6,avatars/Joe-2002.jpg,,,LinChance
AXYZdong,Youdon,https://github.com/AXYZdong,深度学习;机器学习;框架教程;人工智能;LLM;AI工具,AI工具,self-llm;llms-from-scratch-cn;self-dify;handy-ollama;d2l-ai-solutions-manual,30,756,71,61,5,38830,4064,219,7766.0,avatars/AXYZdong.jpg,Ph.D. Student @ Southeast University. | Brain-inspired Navigation 🤖 | Brain-inspired Computing 🧠 | Spiking Neural Networks (SNNs) ✨| Reservoir Computing 🌀,"Nanjing, China",Southeast University
sssanssss,sanshui,https://github.com/sssanssss,AI工具,AI工具,self-llm,2,1,0,0,1,31054,3038,12,31054.0,avatars/sssanssss.jpg,,,
BaiYu96,,https://github.com/BaiYu96,AI工具,AI工具,self-llm,36,27,8,2,1,31054,3038,10,31054.0,avatars/BaiYu96.jpg,,,
Unicornlyy,Unicornlyy,https://github.com/Unicornlyy,AI工具,AI工具,self-llm,3,4,0,0,1,31054,3038,10,31054.0,avatars/Unicornlyy.jpg,,,
LucaChen,陈榆,https://github.com/LucaChen,AI工具,AI工具,self-llm;hello-rocm,84,16,22,8,2,31188,3060,56,15594.0,avatars/LucaChen.jpg,时间，方法，思维，格局,zhejiang,Department Of Computer And Computer Science ZheJiang University City College
li-xiu-qi,李秀奇,https://github.com/li-xiu-qi,多模态;数据库;后端开发;RAG;AI Agent;LLM;强化学习;AI工具,AI工具,self-llm;hello-claw;code-your-own-llm,165,880,124,44,3,33382,3289,13,11127.33,avatars/li-xiu-qi.jpg,专注于个人成长，阅读与写作，技术方面关注大模型、多模态、人类偏好对齐（强化学习）、Agent、RAG…… 公众号：筱可AI,China,
thomas-yanxin,thomas-yanxin,https://github.com/thomas-yanxin,数据库;深度学习;后端开发;计算机视觉;NLP;LLM;AI工具,AI工具,self-llm,63,880,308,217,1,31054,3038,9,31054.0,avatars/thomas-yanxin.jpg,不是逢人苦誉君，亦狂亦侠亦温文。,Beijing China,@Cylingo-Team @X-D-Lab
Zhiwen-Liu,Eleven Liu,https://github.com/Zhiwen-Liu,AI工具,AI工具,self-llm,36,17,5,34,1,31054,3038,8,31054.0,avatars/Zhiwen-Liu.jpg,Liwe a good life meet slomy.,Jinan,
yeyeyeyeeeee,qiankun ye,https://github.com/yeyeyeyeeeee,AI工具,AI工具,self-llm,7,0,11,78,1,31054,3038,8,31054.0,avatars/yeyeyeyeeeee.jpg,I studied at the Communication University of China with a research interest in natural language processing.,Beijing,Communication University of China
cswangxiaowei,,https://github.com/cswangxiaowei,AI工具,AI工具,self-llm,21,0,5,3,1,31054,3038,8,31054.0,avatars/cswangxiaowei.jpg,,,
YangYu-NUAA,Yang Yu,https://github.com/YangYu-NUAA,LLM;AI工具,AI工具,self-llm,13,25,9,12,1,31054,3038,7,31054.0,avatars/YangYu-NUAA.jpg,"Be a qualified Phd. PhD from NUAA. Time Series Analysis, LLMs, Few-shot Learning and AI-assistant Drug Design.",,AUST
fanqiNO1,Qi Fan,https://github.com/fanqiNO1,AI工具,AI工具,self-llm,72,28,23,42,1,31054,3038,7,31054.0,avatars/fanqiNO1.jpg,,Shanghai,
Feimike09,Longfei Zhang,https://github.com/Feimike09,AI工具,AI工具,self-llm,18,0,3,9,1,31054,3038,7,31054.0,avatars/Feimike09.jpg,,,
Bald0Wang,bald0wang,https://github.com/Bald0Wang,AI工具,AI工具,self-llm;self-dify;hand-on-openclaw;video-devour;smart-card-workshop;coffee-therapy,104,225,48,75,6,31766,3130,114,5294.33,avatars/Bald0Wang.jpg,bald0wang,,
little1d,Yang Zhuo,https://github.com/little1d,LLM;AI工具;AI Agent;NLP,AI工具,self-llm;handy-ollama;llm-deploy;hack-rnns,58,100,58,114,4,33970,3409,28,8492.5,avatars/little1d.jpg,"Incoming Ph.D. Student (starting 2026), SEU & Shanghai Innovation Institute | Intern @fnlp-agentRL | Prev. Intern @ Shanghai AI Lab",Shanghai,Shanghai Innovation Institute & Xidian University
BoyuanGao,gaoboy,https://github.com/BoyuanGao,AI工具,AI工具,self-llm,3,2,2,1,1,31054,3038,5,31054.0,avatars/BoyuanGao.jpg,,Beijing,Lenovo
Kedreamix,Kedreamix,https://github.com/Kedreamix,多模态;深度学习;框架教程;计算机视觉;LLM;AI工具,AI工具,self-llm;llm-cookbook;thorough-pytorch;unlock-deepseek;d2l-ai-solutions-manual,81,9253,392,55,5,60376,6658,25,12075.2,avatars/Kedreamix.jpg,"Master candidate, Shenzhen University",,
lta155,Tianao Lou,https://github.com/lta155,LLM;AI工具,AI工具,self-llm;llm-universe;llm-cookbook;handy-ollama,9,7,18,2,4,71164,7644,84,17791.0,avatars/lta155.jpg,,,
langlibai66,晨旭不想写程序,https://github.com/langlibai66,AI工具,AI工具,self-llm,4,4,5,1,1,31054,3038,4,31054.0,avatars/langlibai66.jpg,,山西省晋中市榆次区大学街209号太原理工大学,太原理工大学
leo220yuyaodog,Yaodong Yu,https://github.com/leo220yuyaodog,AI工具,AI工具,self-llm,98,8,39,24,1,31054,3038,4,31054.0,avatars/leo220yuyaodog.jpg,study,"Xi‘an, China",
comfzy,Cyzsd,https://github.com/comfzy,AI工具,AI工具,self-llm,63,8,22,56,1,31054,3038,4,31054.0,avatars/comfzy.jpg,,,Hainan University
XiLinky,,https://github.com/XiLinky,AI工具,AI工具,self-llm,8,8,4,5,1,31054,3038,3,31054.0,avatars/XiLinky.jpg,,,
2710932616,mimicat,https://github.com/2710932616,AI工具,AI工具,self-llm,3,0,0,6,1,31054,3038,3,31054.0,avatars/2710932616.jpg,🅰️The sky and Blue,,
KashiwaByte,Bote Huang,https://github.com/KashiwaByte,多模态;AI工具,AI工具,self-llm;hugging-vis,97,140,77,191,2,31236,3056,23,15618.0,avatars/KashiwaByte.jpg,"Dream Big,Aim High Founder @ AirJelly",,"LowEntropyAI, Inc."
nusakom,TENGY_Z,https://github.com/nusakom,AI工具,AI工具,self-llm,52,0,0,3,1,31054,3038,3,31054.0,avatars/nusakom.jpg,,,
jodie-kang,Jingqi Kang,https://github.com/jodie-kang,LLM;AI工具,LLM,self-llm;llms-from-scratch-cn;leegenai-tutorial,10,6,10,15,3,35547,3643,6,11849.0,avatars/jodie-kang.jpg,,,东南大学
ilovexsir,,https://github.com/ilovexsir,AI工具,AI工具,self-llm,19,0,0,8,1,31054,3038,2,31054.0,avatars/ilovexsir.jpg,,,
hujingdan,,https://github.com/hujingdan,AI工具,AI工具,self-llm;coze-ai-assistant,6,2,0,0,2,31309,3076,3,15654.5,avatars/hujingdan.jpg,,,
frtanxidian,,https://github.com/frtanxidian,AI工具,AI工具,self-llm,5,1,4,7,1,31054,3038,2,31054.0,avatars/frtanxidian.jpg,,,
LinChentang,林宸棠,https://github.com/LinChentang,LLM;框架教程;AI工具;深度学习,LLM,self-llm;llm-universe;llm-cookbook;d2l-ai-solutions-manual;math-for-ai;undingable-optimization;unusual-deep-learning,70,4,22,168,7,69965,7516,56,9995.0,avatars/LinChentang.jpg,,中国香港,
LikeGiver,LikeGiver,https://github.com/LikeGiver,LLM;多模态;AI工具,AI工具,self-llm,36,33,31,117,1,31054,3038,2,31054.0,avatars/LikeGiver.jpg,"AI learner, interested in LLM applications & systems, and multimodal models","PA, USA",
Jin-Zhang-Yaoguang,,https://github.com/Jin-Zhang-Yaoguang,LLM;AI工具;AI Agent,LLM,self-llm;whale-quant;llm-cookbook;agent-tutorial;hands-on-llm,21,6,2,3,5,58300,6312,45,11660.0,avatars/Jin-Zhang-Yaoguang.jpg,,,
huangzhhui,黄朝晖,https://github.com/huangzhhui,具身智能;AI工具,AI工具,self-llm,71,67,508,52,1,31054,3038,1,31054.0,avatars/huangzhhui.jpg,"CEO of @dtyq, Creator of @hyperf","ShenZhen, GuangDong, China",@dtyq @kkguan @hyperf
wwewwt,风云再起,https://github.com/wwewwt,AI工具,AI工具,self-llm,75,9,5,4,1,31054,3038,1,31054.0,avatars/wwewwt.jpg,,,
KarlvenZhao,赵子杭(Zihang Zhao),https://github.com/KarlvenZhao,AI工具,AI工具,self-llm,6,1,0,0,1,31054,3038,1,31054.0,avatars/KarlvenZhao.jpg,"Beijing University of Technology/ major in Bio-medical Engineering in Beijing,China",中国,Beijing University of Tecnology
sgmklp,,https://github.com/sgmklp,AI工具,AI工具,self-llm,6,16,3,1,1,31054,3038,1,31054.0,avatars/sgmklp.jpg,,,
pod2c,,https://github.com/pod2c,AI工具,AI工具,self-llm,12,30,7,1,1,31054,3038,1,31054.0,avatars/pod2c.jpg,,,
mikawudi,mika,https://github.com/mikawudi,AI工具,AI工具,self-llm,28,6,15,16,1,31054,3038,1,31054.0,avatars/mikawudi.jpg,,fuzhou,krsj
kalinplus,kluster,https://github.com/kalinplus,LLM;AI工具,AI工具,self-llm,57,37,12,31,1,31054,3038,1,31054.0,avatars/kalinplus.jpg,I will have more things to say...,,
iehaoang,chaoyangxie,https://github.com/iehaoang,AI工具,AI工具,self-llm,1,0,0,0,1,31054,3038,1,31054.0,avatars/iehaoang.jpg,,Guizhou University,Guizhou University
zhuang-hao-ming,haoming,https://github.com/zhuang-hao-ming,AI工具;前端开发;机器学习,AI工具,self-llm,78,275,44,96,1,31054,3038,1,31054.0,avatars/zhuang-hao-ming.jpg,开开心心，没心没肺,,
godkun,,https://github.com/godkun,AI工具,AI工具,self-llm,189,275,153,121,1,31054,3038,1,31054.0,avatars/godkun.jpg,rebebuca monibuca dubbo-js,China,secret
byx020119,BaiYu,https://github.com/byx020119,AI工具;计算机视觉,AI工具,self-llm,10,24,13,11,1,31054,3038,1,31054.0,avatars/byx020119.jpg,,"Beijing,China","USTB, UCAS"
ai520study520,ai520study520,https://github.com/ai520study520,AI工具;机器学习,AI工具,self-llm,174,2,1,3,1,31054,3038,1,31054.0,avatars/ai520study520.jpg,👋 你好，我是 ai520study520！💻 热爱编程 | 🌱 学习 AI 和机器学习 | 📚 开源爱好者,中国,
Zyvpeng,YupengZheng,https://github.com/Zyvpeng,AI工具,AI工具,self-llm,24,24,15,19,1,31054,3038,1,31054.0,avatars/Zyvpeng.jpg,An undergraduate student at Xidian University and a zero-year graduate student at USTC. My research interests include Diffusions、VLM and Video Understanding.,,
Dormiveglia-elf,Zhenyu,https://github.com/Dormiveglia-elf,AI工具,AI工具,self-llm,110,7,27,72,1,31054,3038,1,31054.0,avatars/Dormiveglia-elf.jpg,,Hong Kong,CUHK
BBuf,Xiaoyu Zhang,https://github.com/BBuf,LLM;AI工具;计算机视觉,AI工具,self-llm,29,9932,2568,60,1,31054,3038,1,31054.0,avatars/BBuf.jpg,Working at RadixArk and the creator of GiantPandaCV official account.,XiChang,RadixArk
gzhuuser,Sxb,https://github.com/gzhuuser,LLM;AI工具,AI工具,self-llm;hack-rnns,12,34,7,3,2,31096,3045,37,15548.0,avatars/gzhuuser.jpg,"个人发展方向AI+嵌入式,熟悉LLM框架和STM32",广州,广东工业大学
Weihong-Liu,Puppet,https://github.com/Weihong-Liu,LLM;AI工具;计算机视觉;大数据,LLM,self-llm;llms-from-scratch-cn;llm-universe;llm-cookbook;hello-rocm;hello-gpu;juicy-bigdata;yolo-master;algo-vis,52,55,15,16,9,73819,8049,104,8202.11,avatars/Weihong-Liu.jpg,,深圳市广东省,
poyea,John Law,https://github.com/poyea,LLM;AI工具;前端开发,AI工具,self-llm,96,120,863,347,1,31054,3038,1,31054.0,avatars/poyea.jpg,Ex-Hong-Kong reboot software développeur in London,London | Hong Kong,@amzn
dipampaul17,dipam paul,https://github.com/dipampaul17,具身智能;机器学习;AI Agent;LLM;AI工具,AI工具,self-llm,41,530,31,0,1,31054,3038,1,31054.0,avatars/dipampaul17.jpg,Learner. Builder. Dreamer.,sf,
BozhengLong,Bozheng Long,https://github.com/BozhengLong,多模态;AI工具,AI工具,self-llm,16,3,5,19,1,31054,3038,1,31054.0,avatars/BozhengLong.jpg,Build to understand.,,
archwalker,,https://github.com/archwalker,机器学习,机器学习,pumpkin-book,17,12,189,0,1,25892,4801,60,25892.0,avatars/archwalker.jpg,机器学习公式详解(南瓜书)作者,,Alibaba
xhqing,Huaqing Xu,https://github.com/xhqing,AI Agent;前端开发,AI Agent,pumpkin-book,177,51,42,261,1,25892,4801,14,25892.0,avatars/xhqing.jpg,微信号(WeChat ID): xhqingxhqing,Hong Kong,
